"Id","Website Id","Destination Country Id","Zip Code"
"443","1","IN","140417"
"444","1","IN","140501"
"445","1","IN","140507"
"446","1","IN","140601"
"447","1","IN","140603"
"448","1","IN","140604"
"449","1","IN","140701"
"450","1","IN","140802"
"451","1","IN","140901"
"452","1","IN","141001"
"453","1","IN","141002"
"454","1","IN","141003"
"455","1","IN","141004"
"456","1","IN","141005"
"457","1","IN","141006"
"458","1","IN","141007"
"459","1","IN","141008"
"460","1","IN","141009"
"461","1","IN","141010"
"462","1","IN","141011"
"463","1","IN","141012"
"464","1","IN","141013"
"465","1","IN","141014"
"466","1","IN","141015"
"467","1","IN","141016"
"468","1","IN","141017"
"469","1","IN","141020"
"470","1","IN","141101"
"471","1","IN","141102"
"472","1","IN","141103"
"473","1","IN","141104"
"474","1","IN","141105"
"475","1","IN","141106"
"476","1","IN","141107"
"477","1","IN","141108"
"478","1","IN","141109"
"479","1","IN","141110"
"480","1","IN","141111"
"481","1","IN","141112"
"482","1","IN","141114"
"483","1","IN","141116"
"484","1","IN","141119"
"485","1","IN","141120"
"486","1","IN","141122"
"487","1","IN","141123"
"488","1","IN","141201"
"489","1","IN","141202"
"490","1","IN","141203"
"491","1","IN","141205"
"492","1","IN","141206"
"493","1","IN","141301"
"494","1","IN","141309"
"495","1","IN","141401"
"496","1","IN","141402"
"497","1","IN","141411"
"498","1","IN","141412"
"499","1","IN","141414"
"500","1","IN","141415"
"501","1","IN","141416"
"502","1","IN","141417"
"503","1","IN","141421"
"504","1","IN","141422"
"505","1","IN","141801"
"506","1","IN","142001"
"507","1","IN","142002"
"508","1","IN","142011"
"509","1","IN","142021"
"510","1","IN","142022"
"511","1","IN","142023"
"512","1","IN","142024"
"513","1","IN","142026"
"514","1","IN","142027"
"515","1","IN","142028"
"516","1","IN","142029"
"517","1","IN","142030"
"518","1","IN","142032"
"519","1","IN","142033"
"520","1","IN","142034"
"521","1","IN","142035"
"522","1","IN","142036"
"523","1","IN","142037"
"524","1","IN","142038"
"525","1","IN","142040"
"526","1","IN","142042"
"527","1","IN","142043"
"528","1","IN","142048"
"529","1","IN","142049"
"530","1","IN","142052"
"531","1","IN","142053"
"532","1","IN","142054"
"533","1","IN","142055"
"534","1","IN","142056"
"535","1","IN","143001"
"536","1","IN","143002"
"537","1","IN","143003"
"538","1","IN","143004"
"539","1","IN","143005"
"540","1","IN","143006"
"541","1","IN","143007"
"542","1","IN","143008"
"543","1","IN","143009"
"544","1","IN","143010"
"545","1","IN","143021"
"546","1","IN","143022"
"547","1","IN","143026"
"548","1","IN","143036"
"549","1","IN","143101"
"550","1","IN","143104"
"551","1","IN","143105"
"552","1","IN","143106"
"553","1","IN","143107"
"554","1","IN","143115"
"555","1","IN","143119"
"556","1","IN","143301"
"557","1","IN","143325"
"558","1","IN","143401"
"559","1","IN","143406"
"560","1","IN","143410"
"561","1","IN","143412"
"562","1","IN","143413"
"563","1","IN","143415"
"564","1","IN","143416"
"565","1","IN","143419"
"566","1","IN","143422"
"567","1","IN","143501"
"568","1","IN","143502"
"569","1","IN","143505"
"570","1","IN","143506"
"571","1","IN","143507"
"572","1","IN","143511"
"573","1","IN","143512"
"574","1","IN","143516"
"575","1","IN","143518"
"576","1","IN","143519"
"577","1","IN","143520"
"578","1","IN","143521"
"579","1","IN","143525"
"580","1","IN","143526"
"581","1","IN","143528"
"582","1","IN","143529"
"583","1","IN","143530"
"584","1","IN","143531"
"585","1","IN","143532"
"586","1","IN","143533"
"587","1","IN","143534"
"588","1","IN","143601"
"589","1","IN","144001"
"590","1","IN","144002"
"591","1","IN","144003"
"592","1","IN","144004"
"593","1","IN","144005"
"594","1","IN","144006"
"595","1","IN","144007"
"596","1","IN","144008"
"597","1","IN","144009"
"598","1","IN","144010"
"599","1","IN","144011"
"600","1","IN","144012"
"601","1","IN","144013"
"602","1","IN","144014"
"603","1","IN","144020"
"604","1","IN","144021"
"605","1","IN","144022"
"606","1","IN","144023"
"607","1","IN","144024"
"608","1","IN","144025"
"609","1","IN","144026"
"610","1","IN","144027"
"611","1","IN","144029"
"612","1","IN","144031"
"613","1","IN","144032"
"614","1","IN","144041"
"615","1","IN","144101"
"616","1","IN","144105"
"617","1","IN","144106"
"618","1","IN","144204"
"619","1","IN","144205"
"620","1","IN","144207"
"621","1","IN","144208"
"622","1","IN","144211"
"623","1","IN","144216"
"624","1","IN","144221"
"625","1","IN","144301"
"626","1","IN","144302"
"627","1","IN","144401"
"628","1","IN","144402"
"629","1","IN","144403"
"630","1","IN","144404"
"631","1","IN","144405"
"632","1","IN","144407"
"633","1","IN","144408"
"634","1","IN","144409"
"635","1","IN","144410"
"636","1","IN","144411"
"637","1","IN","144416"
"638","1","IN","144417"
"639","1","IN","144418"
"640","1","IN","144419"
"641","1","IN","144421"
"642","1","IN","144422"
"643","1","IN","144501"
"644","1","IN","144502"
"645","1","IN","144504"
"646","1","IN","144505"
"647","1","IN","144506"
"648","1","IN","144507"
"649","1","IN","144508"
"650","1","IN","144509"
"651","1","IN","144510"
"652","1","IN","144511"
"653","1","IN","144512"
"654","1","IN","144513"
"655","1","IN","144514"
"656","1","IN","144515"
"657","1","IN","144516"
"658","1","IN","144517"
"659","1","IN","144518"
"660","1","IN","144521"
"661","1","IN","144522"
"662","1","IN","144526"
"663","1","IN","144527"
"664","1","IN","144528"
"665","1","IN","144529"
"666","1","IN","144531"
"667","1","IN","144532"
"668","1","IN","144533"
"669","1","IN","144601"
"670","1","IN","144602"
"671","1","IN","144603"
"672","1","IN","144620"
"673","1","IN","144632"
"674","1","IN","144801"
"675","1","IN","144802"
"676","1","IN","144805"
"677","1","IN","144806"
"678","1","IN","145001"
"679","1","IN","145002"
"680","1","IN","145023"
"681","1","IN","145024"
"682","1","IN","145025"
"683","1","IN","145029"
"684","1","IN","145101"
"685","1","IN","146001"
"686","1","IN","146006"
"687","1","IN","146021"
"688","1","IN","146022"
"689","1","IN","146023"
"690","1","IN","146024"
"691","1","IN","146102"
"692","1","IN","146104"
"693","1","IN","146105"
"694","1","IN","146110"
"695","1","IN","146111"
"696","1","IN","146112"
"697","1","IN","146113"
"698","1","IN","146114"
"699","1","IN","147001"
"700","1","IN","147002"
"701","1","IN","147003"
"702","1","IN","147004"
"703","1","IN","147005"
"704","1","IN","147006"
"705","1","IN","147021"
"706","1","IN","147103"
"707","1","IN","147104"
"708","1","IN","147201"
"709","1","IN","147202"
"710","1","IN","147203"
"711","1","IN","147301"
"712","1","IN","148001"
"713","1","IN","148002"
"714","1","IN","148019"
"715","1","IN","148020"
"716","1","IN","148021"
"717","1","IN","148022"
"718","1","IN","148023"
"719","1","IN","148024"
"720","1","IN","148026"
"721","1","IN","148028"
"722","1","IN","148030"
"723","1","IN","148034"
"724","1","IN","148035"
"725","1","IN","148036"
"726","1","IN","148101"
"727","1","IN","148103"
"728","1","IN","148105"
"729","1","IN","148106"
"730","1","IN","148107"
"731","1","IN","148109"
"732","1","IN","151001"
"733","1","IN","151002"
"734","1","IN","151003"
"735","1","IN","151004"
"736","1","IN","151005"
"737","1","IN","151101"
"738","1","IN","151103"
"739","1","IN","151104"
"740","1","IN","151111"
"741","1","IN","151201"
"742","1","IN","151202"
"743","1","IN","151203"
"744","1","IN","151204"
"745","1","IN","151207"
"746","1","IN","151208"
"747","1","IN","151209"
"748","1","IN","151212"
"749","1","IN","151504"
"750","1","IN","151505"
"751","1","IN","151508"
"752","1","IN","151509"
"753","1","IN","151510"
"754","1","IN","152001"
"755","1","IN","152002"
"756","1","IN","152003"
"757","1","IN","152004"
"758","1","IN","152022"
"759","1","IN","152023"
"760","1","IN","152024"
"761","1","IN","152025"
"762","1","IN","152026"
"763","1","IN","152031"
"764","1","IN","152032"
"765","1","IN","152101"
"766","1","IN","152107"
"767","1","IN","152112"
"768","1","IN","152114"
"769","1","IN","152115"
"770","1","IN","152116"
"771","1","IN","160001"
"772","1","IN","160002"
"773","1","IN","160003"
"774","1","IN","160004"
"775","1","IN","160005"
"776","1","IN","160006"
"777","1","IN","160007"
"778","1","IN","160008"
"779","1","IN","160009"
"780","1","IN","160010"
"781","1","IN","160011"
"782","1","IN","160012"
"783","1","IN","160013"
"784","1","IN","160014"
"785","1","IN","160015"
"786","1","IN","160016"
"787","1","IN","160017"
"788","1","IN","160018"
"789","1","IN","160019"
"790","1","IN","160020"
"791","1","IN","160021"
"792","1","IN","160022"
"793","1","IN","160023"
"794","1","IN","160024"
"795","1","IN","160025"
"796","1","IN","160026"
"797","1","IN","160027"
"798","1","IN","160028"
"799","1","IN","160029"
"800","1","IN","160030"
"801","1","IN","160031"
"802","1","IN","160032"
"803","1","IN","160033"
"804","1","IN","160034"
"805","1","IN","160035"
"806","1","IN","160036"
"807","1","IN","160037"
"808","1","IN","160038"
"809","1","IN","160039"
"810","1","IN","160040"
"811","1","IN","160041"
"812","1","IN","160042"
"813","1","IN","160043"
"814","1","IN","160044"
"815","1","IN","160045"
"816","1","IN","160046"
"817","1","IN","160047"
"818","1","IN","160048"
"819","1","IN","160049"
"820","1","IN","160050"
"821","1","IN","160051"
"822","1","IN","160052"
"823","1","IN","160053"
"824","1","IN","160054"
"825","1","IN","160055"
"826","1","IN","160056"
"827","1","IN","160057"
"828","1","IN","160058"
"829","1","IN","160059"
"830","1","IN","160060"
"831","1","IN","160061"
"832","1","IN","160062"
"833","1","IN","160063"
"834","1","IN","160064"
"835","1","IN","160065"
"836","1","IN","160066"
"837","1","IN","160067"
"838","1","IN","160068"
"839","1","IN","160069"
"840","1","IN","160070"
"841","1","IN","160071"
"842","1","IN","160073"
"843","1","IN","160074"
"844","1","IN","160079"
"845","1","IN","160101"
"846","1","IN","160102"
"847","1","IN","160103"
"848","1","IN","160104"
"849","1","IN","160106"
"850","1","IN","166031"
"851","1","IN","171001"
"852","1","IN","171002"
"853","1","IN","171003"
"854","1","IN","171004"
"855","1","IN","171005"
"856","1","IN","171006"
"857","1","IN","171008"
"858","1","IN","171009"
"859","1","IN","171010"
"860","1","IN","171011"
"861","1","IN","173030"
"862","1","IN","173203"
"863","1","IN","173205"
"864","1","IN","173210"
"865","1","IN","173211"
"866","1","IN","173212"
"867","1","IN","173213"
"868","1","IN","173214"
"869","1","IN","174101"
"870","1","IN","174103"
"871","1","IN","174301"
"872","1","IN","174303"
"873","1","IN","174315"
"874","1","IN","174401"
"875","1","IN","174402"
"876","1","IN","175001"
"877","1","IN","175002"
"878","1","IN","175008"
"879","1","IN","175009"
"880","1","IN","175021"
"881","1","IN","175022"
"882","1","IN","180001"
"883","1","IN","180002"
"884","1","IN","180003"
"885","1","IN","180004"
"886","1","IN","180005"
"887","1","IN","180006"
"888","1","IN","180007"
"889","1","IN","180009"
"890","1","IN","180010"
"891","1","IN","180011"
"892","1","IN","180012"
"893","1","IN","180013"
"894","1","IN","180015"
"895","1","IN","180016"
"896","1","IN","180018"
